DOM Element Count,Legislation Section URL,volume,Chapter,Part,Divison,Subdivision
1,https://www.legislation.gov.au/C1901A00006/2024-07-01/2024-07-01/text/original/epub/OEBPS/document_1/document_1.html#_Toc172622976,,Part IIntroductory,,
2,https://www.legislation.gov.au/C1901A00006/2024-07-01/2024-07-01/text/original/epub/OEBPS/document_1/document_1.html#_Toc172622977,,Part IIntroductory,,1  Short title
3,https://www.legislation.gov.au/C1901A00006/2024-07-01/2024-07-01/text/original/epub/OEBPS/document_1/document_1.html#_Toc172622978,,Part IIntroductory,,2  Commencement
4,https://www.legislation.gov.au/C1901A00006/2024-07-01/2024-07-01/text/original/epub/OEBPS/document_1/document_1.html#_Toc172622979,,Part IIntroductory,,4  Definitions
5,https://www.legislation.gov.au/C1901A00006/2024-07-01/2024-07-01/text/original/epub/OEBPS/document_1/document_1.html#_Toc172622980,,Part IIntroductory,,4 AAA  Members of family
6,https://www.legislation.gov.au/C1901A00006/2024-07-01/2024-07-01/text/original/epub/OEBPS/document_1/document_1.html#_Toc172622981,,Part IIntroductory,,4 AA  Act not to apply so as to exceed Commonwealth power
7,https://www.legislation.gov.au/C1901A00006/2024-07-01/2024-07-01/text/original/epub/OEBPS/document_1/document_1.html#_Toc172622982,,Part IIntroductory,,4 AB  Compensation for acquisition of property
8,https://www.legislation.gov.au/C1901A00006/2024-07-01/2024-07-01/text/original/epub/OEBPS/document_1/document_1.html#_Toc172622983,,Part IIntroductory,,4 A  Approved forms and approved statements
9,https://www.legislation.gov.au/C1901A00006/2024-07-01/2024-07-01/text/original/epub/OEBPS/document_1/document_1.html#_Toc172622984,,Part IIntroductory,,4 B  What is a Customs related law
10,https://www.legislation.gov.au/C1901A00006/2024-07-01/2024-07-01/text/original/epub/OEBPS/document_1/document_1.html#_Toc172622985,,Part IIntroductory,,4 C  Identity cards
11,https://www.legislation.gov.au/C1901A00006/2024-07-01/2024-07-01/text/original/epub/OEBPS/document_1/document_1.html#_Toc172622986,,Part IIntroductory,,5  Penalties at foot of sections or subsections
12,https://www.legislation.gov.au/C1901A00006/2024-07-01/2024-07-01/text/original/epub/OEBPS/document_1/document_1.html#_Toc172622987,,Part IIntroductory,,5 AA  Application of the Criminal Code
13,https://www.legislation.gov.au/C1901A00006/2024-07-01/2024-07-01/text/original/epub/OEBPS/document_1/document_1.html#_Toc172622988,,Part IIAdministration,,
14,https://www.legislation.gov.au/C1901A00006/2024-07-01/2024-07-01/text/original/epub/OEBPS/document_1/document_1.html#_Toc172622989,,Part IIAdministration,,5 A  Attachment of overseas resources installations
15,https://www.legislation.gov.au/C1901A00006/2024-07-01/2024-07-01/text/original/epub/OEBPS/document_1/document_1.html#_Toc172622990,,Part IIAdministration,,5 B  Installation of overseas sea installations
16,https://www.legislation.gov.au/C1901A00006/2024-07-01/2024-07-01/text/original/epub/OEBPS/document_1/document_1.html#_Toc172622991,,Part IIAdministration,,5 BA  Installation of overseas offshore electricity installations
17,https://www.legislation.gov.au/C1901A00006/2024-07-01/2024-07-01/text/original/epub/OEBPS/document_1/document_1.html#_Toc172622992,,Part IIAdministration,,5 C  Certain installations to be part of Australia
18,https://www.legislation.gov.au/C1901A00006/2024-07-01/2024-07-01/text/original/epub/OEBPS/document_1/document_1.html#_Toc172622993,,Part IIAdministration,,6  Act does not extend to external Territories
19,https://www.legislation.gov.au/C1901A00006/2024-07-01/2024-07-01/text/original/epub/OEBPS/document_1/document_1.html#_Toc172622994,,Part IIAdministration,,7  General administration of Act
20,https://www.legislation.gov.au/C1901A00006/2024-07-01/2024-07-01/text/original/epub/OEBPS/document_1/document_1.html#_Toc172622995,,Part IIAdministration,,8  Collectors States and Northern Territory
21,https://www.legislation.gov.au/C1901A00006/2024-07-01/2024-07-01/text/original/epub/OEBPS/document_1/document_1.html#_Toc172622996,,Part IIAdministration,,8 A  Attachment of part of a State or Territory to adjoining State or Territory for administrative purposes
22,https://www.legislation.gov.au/C1901A00006/2024-07-01/2024-07-01/text/original/epub/OEBPS/document_1/document_1.html#_Toc172622997,,Part IIAdministration,,9  Delegation
23,https://www.legislation.gov.au/C1901A00006/2024-07-01/2024-07-01/text/original/epub/OEBPS/document_1/document_1.html#_Toc172622998,,Part IIAdministration,,11  Arrangements with States and the Northern Territory
24,https://www.legislation.gov.au/C1901A00006/2024-07-01/2024-07-01/text/original/epub/OEBPS/document_1/document_1.html#_Toc172622999,,Part IIAdministration,,13  Customs seal
25,https://www.legislation.gov.au/C1901A00006/2024-07-01/2024-07-01/text/original/epub/OEBPS/document_1/document_1.html#_Toc172623000,,Part IIAdministration,,14  Flag
26,https://www.legislation.gov.au/C1901A00006/2024-07-01/2024-07-01/text/original/epub/OEBPS/document_1/document_1.html#_Toc172623001,,Part IIAdministration,,15  Appointment of ports etc
27,https://www.legislation.gov.au/C1901A00006/2024-07-01/2024-07-01/text/original/epub/OEBPS/document_1/document_1.html#_Toc172623002,,Part IIAdministration,,19  Accommodation on wharfs and at airports
28,https://www.legislation.gov.au/C1901A00006/2024-07-01/2024-07-01/text/original/epub/OEBPS/document_1/document_1.html#_Toc172623003,,Part IIAdministration,,20  Waterfront area control
29,https://www.legislation.gov.au/C1901A00006/2024-07-01/2024-07-01/text/original/epub/OEBPS/document_1/document_1.html#_Toc172623004,,Part IIAdministration,,25  Persons before whom declarations may be made
30,https://www.legislation.gov.au/C1901A00006/2024-07-01/2024-07-01/text/original/epub/OEBPS/document_1/document_1.html#_Toc172623005,,Part IIAdministration,,26  Declaration by youths
31,https://www.legislation.gov.au/C1901A00006/2024-07-01/2024-07-01/text/original/epub/OEBPS/document_1/document_1.html#_Toc172623006,,Part IIAdministration,,28  Working days and hours etc
32,https://www.legislation.gov.au/C1901A00006/2024-07-01/2024-07-01/text/original/epub/OEBPS/document_1/document_1.html#_Toc172623007,,Part IIICustoms control examination and securities generally,,
33,https://www.legislation.gov.au/C1901A00006/2024-07-01/2024-07-01/text/original/epub/OEBPS/document_1/document_1.html#_Toc172623008,,Part IIICustoms control examination and securities generally,,30  Customs control of goods
34,https://www.legislation.gov.au/C1901A00006/2024-07-01/2024-07-01/text/original/epub/OEBPS/document_1/document_1.html#_Toc172623009,,Part IIICustoms control examination and securities generally,,30 A  Exemptions under Torres Strait Treaty
35,https://www.legislation.gov.au/C1901A00006/2024-07-01/2024-07-01/text/original/epub/OEBPS/document_1/document_1.html#_Toc172623010,,Part IIICustoms control examination and securities generally,,31  Goods on ships and aircraft subject to customs control
36,https://www.legislation.gov.au/C1901A00006/2024-07-01/2024-07-01/text/original/epub/OEBPS/document_1/document_1.html#_Toc172623011,,Part IIICustoms control examination and securities generally,,33  Persons not to move goods subject to customs control
37,https://www.legislation.gov.au/C1901A00006/2024-07-01/2024-07-01/text/original/epub/OEBPS/document_1/document_1.html#_Toc172623012,,Part IIICustoms control examination and securities generally,,33 A  Resources installations subject to customs control
38,https://www.legislation.gov.au/C1901A00006/2024-07-01/2024-07-01/text/original/epub/OEBPS/document_1/document_1.html#_Toc172623013,,Part IIICustoms control examination and securities generally,,33 B  Sea installations subject to customs control
39,https://www.legislation.gov.au/C1901A00006/2024-07-01/2024-07-01/text/original/epub/OEBPS/document_1/document_1.html#_Toc172623014,,Part IIICustoms control examination and securities generally,,33 BA  Offshore electricity installations subject to customs control
40,https://www.legislation.gov.au/C1901A00006/2024-07-01/2024-07-01/text/original/epub/OEBPS/document_1/document_1.html#_Toc172623015,,Part IIICustoms control examination and securities generally,,33 C  Obstructing or interfering with Commonwealth property in a Customs place
41,https://www.legislation.gov.au/C1901A00006/2024-07-01/2024-07-01/text/original/epub/OEBPS/document_1/document_1.html#_Toc172623016,,Part IIICustoms control examination and securities generally,,34  No claim for compensation for loss
42,https://www.legislation.gov.au/C1901A00006/2024-07-01/2024-07-01/text/original/epub/OEBPS/document_1/document_1.html#_Toc172623017,,Part IIICustoms control examination and securities generally,,35  Goods imported by post
43,https://www.legislation.gov.au/C1901A00006/2024-07-01/2024-07-01/text/original/epub/OEBPS/document_1/document_1.html#_Toc172623018,,Part IIICustoms control examination and securities generally,,35 A  Amount payable for failure to keep dutiable goods safely etc
44,https://www.legislation.gov.au/C1901A00006/2024-07-01/2024-07-01/text/original/epub/OEBPS/document_1/document_1.html#_Toc172623019,,Part IIICustoms control examination and securities generally,,36  Offences for failure to keep goods safely or failure to account for goods
45,https://www.legislation.gov.au/C1901A00006/2024-07-01/2024-07-01/text/original/epub/OEBPS/document_1/document_1.html#_Toc172623020,,Part IIICustoms control examination and securities generally,,37  Accounting for goods
46,https://www.legislation.gov.au/C1901A00006/2024-07-01/2024-07-01/text/original/epub/OEBPS/document_1/document_1.html#_Toc172623021,,Part IIICustoms control examination and securities generally,,42  Right to require security
47,https://www.legislation.gov.au/C1901A00006/2024-07-01/2024-07-01/text/original/epub/OEBPS/document_1/document_1.html#_Toc172623022,,Part IIICustoms control examination and securities generally,,43  Form of security
48,https://www.legislation.gov.au/C1901A00006/2024-07-01/2024-07-01/text/original/epub/OEBPS/document_1/document_1.html#_Toc172623023,,Part IIICustoms control examination and securities generally,,44  General securities may be given
49,https://www.legislation.gov.au/C1901A00006/2024-07-01/2024-07-01/text/original/epub/OEBPS/document_1/document_1.html#_Toc172623024,,Part IIICustoms control examination and securities generally,,45  Cancellation of securities
50,https://www.legislation.gov.au/C1901A00006/2024-07-01/2024-07-01/text/original/epub/OEBPS/document_1/document_1.html#_Toc172623025,,Part IIICustoms control examination and securities generally,,46  New securities
51,https://www.legislation.gov.au/C1901A00006/2024-07-01/2024-07-01/text/original/epub/OEBPS/document_1/document_1.html#_Toc172623026,,Part IIICustoms control examination and securities generally,,47  Form of security
52,https://www.legislation.gov.au/C1901A00006/2024-07-01/2024-07-01/text/original/epub/OEBPS/document_1/document_1.html#_Toc172623027,,Part IIICustoms control examination and securities generally,,48  Effect of security
53,https://www.legislation.gov.au/C1901A00006/2024-07-01/2024-07-01/text/original/epub/OEBPS/document_1/document_1.html#_Toc172623028,,Part IVThe importation of goods,,
54,https://www.legislation.gov.au/C1901A00006/2024-07-01/2024-07-01/text/original/epub/OEBPS/document_1/document_1.html#_Toc172623029,,Part IVThe importation of goods,Division 1 APreliminary,
55,https://www.legislation.gov.au/C1901A00006/2024-07-01/2024-07-01/text/original/epub/OEBPS/document_1/document_1.html#_Toc172623030,,Part IVThe importation of goods,Division 1 APreliminary,49  Importation
56,https://www.legislation.gov.au/C1901A00006/2024-07-01/2024-07-01/text/original/epub/OEBPS/document_1/document_1.html#_Toc172623031,,Part IVThe importation of goods,Division 1 APreliminary,49 A  Ships and aircraft deemed to be imported
57,https://www.legislation.gov.au/C1901A00006/2024-07-01/2024-07-01/text/original/epub/OEBPS/document_1/document_1.html#_Toc172623032,,Part IVThe importation of goods,Division 1 APreliminary,49 B  Installations and goods deemed to be imported
58,https://www.legislation.gov.au/C1901A00006/2024-07-01/2024-07-01/text/original/epub/OEBPS/document_1/document_1.html#_Toc172623033,,Part IVThe importation of goods,Division 1 APreliminary,49 C  Obligations under this Part may be satisfied in accordance with a trusted trader agreement
59,https://www.legislation.gov.au/C1901A00006/2024-07-01/2024-07-01/text/original/epub/OEBPS/document_1/document_1.html#_Toc172623034,,Part IVThe importation of goods,Division 1 Prohibited imports,
